rejected,Accepted,Country_Name_EN
0,1,TURKEY
0,1,UNITED ARAB EMIRATE
0,1,PHILIPPINES
0,1,INDIA
0,1,ITALY
0,1,CHINA
0,0,SINGAPORE
0,1,UNITED ARAB EMIRATE
0,1,UNITED ARAB EMIRATE
0,0,CHINA
0,1,BAHRAIN
0,1,BELGIUM
0,1,INDIA
0,1,INDIA
0,1,INDIA
0,1,UNITED STATES
0,0,TURKEY
0,1,UNITED ARAB EMIRATE
0,1,NETHERLAND
0,1,NETHERLAND
0,1,BELGIUM
0,1,INDIA
0,1,UNITED STATES
1,0,SPAIN
0,1,INDIA
0,1,BELGIUM
0,1,CHINA
0,1,TURKEY
0,1,TURKEY
0,1,UNITED ARAB EMIRATE
0,1,ITALY
0,1,GERMANY
0,1,GERMANY
0,1,UNITED ARAB EMIRATE
0,1,NETHERLAND
0,1,NETHERLAND
0,1,UNITED ARAB EMIRATE
0,1,INDIA
0,1,SAUDI ARABIA
0,1,JORDAN
0,1,UNITED ARAB EMIRATE
0,0,INDIA
0,1,UNITED ARAB EMIRATE
0,1,GERMANY
0,1,UNITED ARAB EMIRATE
0,1,GERMANY
0,1,GERMANY
0,1,GERMANY
0,1,GERMANY
0,1,GERMANY
0,1,GERMANY
0,1,UNITED KINGDOM
0,1,ITALY
0,1,UNITED ARAB EMIRATE
0,0,SAUDI ARABIA
0,1,UNITED ARAB EMIRATE
0,1,BELGIUM
0,0,PAKISTAN
0,0,TURKEY
0,0,CHINA
0,1,UNITED KINGDOM
0,0,INDIA
0,0,CHINA
0,1,LEBANON
0,1,BELGIUM
0,1,BELGIUM
0,1,CHINA
0,1,UNITED ARAB EMIRATE
0,0,CHINA
0,1,CHINA
0,1,TURKEY
0,1,CHINA
0,0,TURKEY
0,1,UNITED KINGDOM
0,1,OMAN
0,1,GERMANY
0,1,UNITED STATES
0,0,CHINA
0,1,TURKEY
0,1,CHINA
0,1,ITALY
0,1,CHINA
0,1,ITALY
0,1,MALTA
0,0,UNITED ARAB EMIRATE
0,1,ITALY
0,1,GERMANY
0,1,LEBANON
0,1,UNITED ARAB EMIRATE
0,1,FRANCE
0,1,UNITED ARAB EMIRATE
0,0,BAHRAIN
0,0,TURKEY
0,1,PAKISTAN
0,0,UNITED ARAB EMIRATE
0,1,Unknown
1,0,UNITED STATES
0,1,UNITED ARAB EMIRATE
0,0,UNITED STATES
0,0,INDIA
