id,name,region
ABW,Aruba,Northern America
AFG,Afghanistan,Asia
AGO,Angola,Africa
AIA,Anguilla,Northern America
ALA,Åland Islands,Europe
ALB,Albania,Europe
AND,Andorra,Europe
ARE,United Arab Emirates,Asia
ARG,Argentina,South America
ARM,Armenia,Asia
ASM,American Samoa,Oceania
ATA,Antarctica,Antarctic
ATF,French Southern and Antarctic Lands,Antarctic
ATG,Antigua and Barbuda,Northern America
AUS,Australia,Oceania
AUT,Austria,Europe
AZE,Azerbaijan,Asia
BDI,Burundi,Africa
BEL,Belgium,Europe
BEN,Benin,Africa
BFA,Burkina Faso,Africa
BGD,Bangladesh,Asia
BGR,Bulgaria,Europe
BHR,Bahrain,Asia
BHS,Bahamas,Northern America
BIH,Bosnia and Herzegovina,Europe
BLM,Saint Barthélemy,Northern America
SHN,"Saint Helena, Ascension and Tristan da Cunha",Africa
BLR,Belarus,Europe
BLZ,Belize,Northern America
BMU,Bermuda,North America
BOL,Bolivia,South America
BES,Caribbean Netherlands,Northern America
BRA,Brazil,South America
BRB,Barbados,Northern America
BRN,Brunei,Asia
BTN,Bhutan,Asia
BVT,Bouvet Island,Antarctic
BWA,Botswana,Africa
CAF,Central African Republic,Africa
CAN,Canada,North America
CCK,Cocos (Keeling) Islands,Oceania
CHE,Switzerland,Europe
CHL,Chile,South America
CHN,China,Asia
CIV,Ivory Coast,Africa
CMR,Cameroon,Africa
COD,DR Congo,Africa
COG,Republic of the Congo,Africa
COK,Cook Islands,Oceania
COL,Colombia,South America
COM,Comoros,Africa
CPV,Cape Verde,Africa
CRI,Costa Rica,Northern America
CUB,Cuba,Northern America
CUW,Curaçao,Northern America
CXR,Christmas Island,Oceania
CYM,Cayman Islands,Northern America
CYP,Cyprus,Europe
CZE,Czechia,Europe
DEU,Germany,Europe
DJI,Djibouti,Africa
DMA,Dominica,Northern America
DNK,Denmark,Europe
DOM,Dominican Republic,Northern America
DZA,Algeria,Africa
ECU,Ecuador,South America
EGY,Egypt,Africa
ERI,Eritrea,Africa
ESH,Western Sahara,Africa
ESP,Spain,Europe
EST,Estonia,Europe
ETH,Ethiopia,Africa
FIN,Finland,Europe
FJI,Fiji,Oceania
FLK,Falkland Islands,South America
